"Data","precipitacao_total","pressao_atmosferica","temperatura_maxima","temperatura_media","Temperatura_minima","umidade_relativa_media","umidade_relativa_minima","vel_vento_max","vel_vento_med"
2008-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-05,NA,NA,NA,NA,NA,NA,37,5.6,NA
2008-03-06,NA,955.8,29.7,21.6,16.2,78,41,5,0.6
2008-03-07,0,958,31.1,23.8,18.7,75,37,6.5,1.2
2008-03-08,0,960.2,30.4,23.8,19.3,76.4,40,6.1,1.3
2008-03-09,0,960.9,29.9,23.1,17,77,46,7.1,1.1
2008-03-10,0,958.9,29.4,22.6,17.3,79.8,48,6.3,0.9
2008-03-11,0,955.8,29.9,23.1,20.8,83.5,56,11.7,1.2
2008-03-12,1.6,957.5,22.5,19.4,18.6,89.1,75,5.9,1.7
2008-03-13,5.4,958.4,26.1,19.5,16.5,84.7,57,7.9,1.1
2008-03-14,0.2,960,25.6,18.5,13.2,81,52,7.5,1.3
2008-03-15,0.4,962.9,24.7,17.5,12.1,83.5,57,10.5,1.7
2008-03-16,0.2,964.4,25.9,18.2,13.7,84.5,51,7.1,1.5
2008-03-17,3,963.9,26.5,18.2,12.6,86.5,59,4.5,0.5
2008-03-18,0.6,963,27.5,21.5,15.1,82.9,59,7,1.3
2008-03-19,0,962,27.8,22.2,19.1,82.5,58,8.1,1.3
2008-03-20,0,961.6,29.2,22.6,19.3,80.4,51,15.6,1
2008-03-21,5.8,960.6,28.8,21.2,17.5,85.4,55,7.5,1.1
2008-03-22,17.8,958.5,29.3,22,18.5,84.2,54,11.5,0.9
2008-03-23,1.8,959.6,26.6,20.3,17.8,90,63,7.4,1.2
2008-03-24,1.6,961.4,26.7,21.1,17.6,83.9,60,5.6,1
2008-03-25,NA,NA,23.4,NA,18.9,82.4,70,4.4,NA
2008-03-26,NA,NA,NA,NA,NA,78.2,65,4.6,NA
2008-03-27,NA,NA,NA,NA,NA,67.9,42,5.8,NA
2008-03-28,4.4,957.1,25.7,20.3,17.8,90.8,68,6,0.6
2008-03-29,NA,NA,26.4,NA,16,75.5,50,9.8,NA
2008-03-30,NA,962.7,22,NA,14.6,82.4,63,5.8,1
2008-03-31,NA,NA,NA,NA,NA,71.6,54,6,NA
2008-04-01,NA,957.7,23.8,NA,17.1,84,62,5.5,0.7
2008-04-02,NA,NA,24.7,NA,15,90.9,67,4.7,NA
2008-04-03,NA,NA,NA,NA,NA,65.1,35,6.8,NA
2008-04-04,NA,958.4,25.1,NA,11.9,76.6,44,5.4,1.1
2008-04-05,0,959.1,25.4,18.5,14.5,78.5,39,6.2,0.6
2008-04-06,0,958.9,25.7,18.5,13.4,78.8,36,7,0.6
2008-04-07,0,958.5,28.5,20,14.6,79.8,37,5.2,0.7
2008-04-08,0.2,960.3,28.9,20.5,15.1,77.9,33,5.7,0.6
2008-04-09,0,960.6,28.5,19.8,14.9,80.5,35,5.9,0.5
2008-04-10,0,957,28,19.7,15.8,88.3,57,8.4,0.5
2008-04-11,2.8,953.9,29.8,21.8,17.4,85.1,56,6.6,0.9
2008-04-12,11.6,953.6,23.2,20,18,89.8,74,8.6,1.2
2008-04-13,NA,NA,20.4,NA,17,95.1,82,7.3,NA
2008-04-14,NA,NA,NA,NA,NA,NA,57,6.1,NA
2008-04-15,NA,NA,NA,NA,NA,68.9,45,6.9,NA
2008-04-16,NA,NA,NA,NA,9,NA,71,3.4,NA
2008-04-17,NA,NA,NA,NA,NA,NA,91,4.3,NA
2008-04-18,NA,NA,NA,NA,NA,74.6,49,4.6,NA
2008-04-19,NA,962.9,23.7,NA,12.3,83.6,53,5.2,0.7
2008-04-20,NA,NA,NA,NA,13.2,NA,93,5.4,NA
2008-04-21,NA,NA,NA,NA,NA,79.4,61,4.6,NA
2008-04-22,0,958.1,25.8,18.8,15.4,85.1,45,6.9,1.1
2008-04-23,0.4,956.6,26.9,17.6,11.8,84.1,45,9.2,0.9
2008-04-24,0,955.9,25.8,18.2,13.6,82,44,7.5,0.8
2008-04-25,0.4,955.7,26.6,16.4,10.4,82.4,33,7,0.7
2008-04-26,0.2,955.6,24.1,16.1,9.5,87,57,8.8,0.7
2008-04-27,0.6,955.7,24.6,18,13.1,87.1,61,6.1,0.9
2008-04-28,8.6,NA,19.9,NA,14.8,96.5,83,5.7,NA
2008-04-29,NA,NA,NA,NA,NA,NA,85,5.6,NA
2008-04-30,NA,NA,NA,NA,NA,64.9,39,5.5,NA
2008-05-01,0.2,965.3,19.4,10.4,4.3,88,57,7.3,0.9
2008-05-02,NA,NA,NA,NA,NA,NA,82,6.6,NA
2008-05-03,NA,NA,NA,NA,NA,75.1,55,8.6,NA
2008-05-04,NA,NA,22.1,NA,14.1,78.6,58,9.8,NA
2008-05-05,NA,958.1,20.6,NA,10.8,72.8,48,9.8,1.9
2008-05-06,NA,959.2,20.3,NA,8.6,69.6,38,9.1,2.1
2008-05-07,0.2,961.4,20,10.3,4.4,84.8,44,4.2,0.4
2008-05-08,0.2,960.7,20.6,11.5,5.4,87.8,51,4.9,0.7
2008-05-09,0,962.6,20.4,13.1,7.1,79.1,38,5.3,1.1
2008-05-10,0.2,965.6,20,11.9,4.5,79.9,52,4.8,0.8
2008-05-11,0.2,967.4,18.6,12.2,6.4,85.3,56,6,0.7
2008-05-12,0,967.7,21.3,15.1,8.4,83.5,54,6.1,0.8
2008-05-13,0,967.2,21.9,14.9,10.5,85.7,53,4.9,0.6
2008-05-14,0.2,965.3,21.3,13.9,9.9,89.3,56,4.4,0.4
2008-05-15,0,963.2,21.6,14,8.2,87.2,59,7.1,0.9
2008-05-16,0.4,963.5,22,13.3,8.5,88,52,5.8,0.3
2008-05-17,0.4,965.4,21.5,12.1,6.9,88,48,4.2,0.3
2008-05-18,0,963.2,21.9,14.4,8.4,87.3,63,4.6,0.6
2008-05-19,0.2,961.3,26.3,15.9,11.5,90.4,54,4.3,0.4
2008-05-20,NA,960.8,26.8,NA,12.5,85.3,55,5.8,0.8
2008-05-21,NA,NA,NA,NA,NA,83.8,58,4,NA
2008-05-22,NA,960,28.3,NA,13.6,83.7,50,5.5,0.6
2008-05-23,0.2,959.9,27.1,19,13.3,82.9,43,5.7,0.5
2008-05-24,0.4,957.3,26.4,17.5,10.8,79.7,42,10.9,1.4
2008-05-25,0,956.5,21.6,15.6,10.3,70.4,35,7.9,1.3
2008-05-26,0,959.6,20.8,11.6,5.7,86.6,55,3.6,0.7
2008-05-27,0,960.1,19.7,14.8,9.4,92.2,76,3.3,0.4
2008-05-28,NA,NA,NA,NA,NA,74.5,50,9.4,NA
2008-05-29,12.8,955.1,22.7,NA,16,86,64,14.4,1.7
2008-05-30,NA,NA,NA,NA,NA,52.8,26,9.1,NA
2008-05-31,0,970.9,16.3,7.1,-1.3,76,41,6.4,0.9
2008-06-01,1,970.5,15.2,10.6,3,87.6,67,4.5,0.4
2008-06-02,NA,NA,17.5,NA,9.6,83.3,68,4.4,NA
2008-06-03,NA,NA,NA,NA,NA,NA,98,NA,NA
2008-06-04,NA,NA,NA,NA,NA,NA,73,3.6,NA
2008-06-05,NA,NA,NA,NA,NA,87.2,67,4.7,NA
2008-06-06,NA,NA,25.1,NA,10.1,88.6,63,4.8,NA
2008-06-07,NA,NA,NA,NA,NA,NA,88,3.1,NA
2008-06-08,NA,NA,NA,NA,NA,NA,81,4.5,NA
2008-06-09,NA,NA,NA,NA,NA,80.3,62,9,NA
2008-06-10,NA,NA,NA,NA,NA,64.4,43,11.9,NA
2008-06-11,0.2,963.3,15.7,6.4,-0.2,84.6,43,4.4,0.6
2008-06-12,22.8,963.5,14.6,NA,1.9,92.6,82,4.2,0.7
2008-06-13,NA,NA,NA,NA,NA,84.3,69,4.7,NA
2008-06-14,NA,NA,22.9,NA,12,87.4,62,9,NA
2008-06-15,NA,NA,17.7,NA,12.5,51.3,26,13.1,NA
2008-06-16,0,967.4,13.7,5.4,-0.8,72.2,38,7,1.3
2008-06-17,0.2,965.1,15.4,4.4,-0.7,87.8,38,3,0.3
2008-06-18,0.2,962,19.3,6.5,0,89.2,52,3.9,0.5
2008-06-19,0,960.6,19.3,10.2,1.5,84.9,32,3,0.4
2008-06-20,0.2,956.4,20.2,NA,6.3,93.1,68,10,0.5
2008-06-21,NA,NA,NA,NA,NA,60.6,44,10.1,NA
2008-06-22,0,963.5,17,9.7,3,74.9,48,7.6,1.3
2008-06-23,0,967.3,15.4,8.8,4,88.2,59,5.2,0.7
2008-06-24,0,969,13.9,8.1,2.6,90.3,74,4,0.3
2008-06-25,NA,NA,NA,NA,NA,NA,72,7.5,NA
2008-06-26,NA,NA,NA,NA,NA,NA,89,3,NA
2008-06-27,NA,NA,NA,NA,NA,NA,82,2.4,NA
2008-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-06-29,NA,NA,NA,NA,NA,85.5,66,3.4,NA
2008-06-30,NA,NA,NA,NA,NA,82.5,60,5.5,NA
2008-07-01,NA,NA,23.5,NA,11.2,67.5,28,8.5,NA
2008-07-02,0,965.9,20.9,11.3,5,87.5,51,5.4,0.4
2008-07-03,1.6,NA,15.7,NA,8.3,97.1,88,4.5,NA
2008-07-04,NA,NA,NA,NA,NA,NA,82,2.9,NA
2008-07-05,NA,NA,NA,NA,NA,84.8,70,3.8,NA
2008-07-06,NA,NA,NA,NA,NA,79.6,57,4.5,NA
2008-07-07,NA,NA,17.4,NA,8.5,93.2,77,3.3,NA
2008-07-08,NA,NA,NA,NA,NA,83.5,65,4.2,NA
2008-07-09,NA,NA,22.1,NA,12.3,83.3,60,4.5,NA
2008-07-10,NA,NA,21,NA,12.5,85,62,4.2,NA
2008-07-11,NA,972.3,21.5,NA,9.7,85.4,57,7.6,1
2008-07-12,NA,969.1,21.9,NA,10.2,84.2,58,7.2,1
2008-07-13,NA,966.7,22.3,NA,13,81.9,62,5,1
2008-07-14,0.2,966.9,22.5,14.7,10.7,91.6,63,4,0.4
2008-07-15,NA,968.8,22.5,NA,9.9,79.3,34,5.1,0.7
2008-07-16,0.4,967.1,20.7,10.5,5,91,55,3.2,0.3
2008-07-17,NA,961.4,23.2,NA,5.6,83.9,36,4,0.5
2008-07-18,0.2,960.4,24.4,13.3,6.4,86.5,46,5.5,0.5
2008-07-19,0.4,962,25.1,14.2,7.4,84.3,39,5.4,0.5
2008-07-20,0,963.5,21.5,15.4,10,87.7,63,4.6,0.5
2008-07-21,NA,961.8,24.1,NA,13.1,80.2,53,3.8,0.6
2008-07-22,0,958.9,18.5,NA,12.6,94.1,82,6.9,0.8
2008-07-23,NA,NA,NA,NA,NA,72.2,46,6.2,NA
2008-07-24,NA,960.6,19.3,NA,13.3,90.9,78,6.4,1.4
2008-07-25,NA,NA,18.2,NA,8.2,59.9,33,8.9,NA
2008-07-26,0,967.7,18.6,10.2,3.6,82.3,47,6.6,1
2008-07-27,0,965.1,19.3,12.8,8.1,87.2,62,3.8,0.5
2008-07-28,0,963.8,25.6,15.8,9.7,86.6,49,3.9,0.3
2008-07-29,0,964,22.1,16.7,11.1,87.1,68,7.8,1.3
2008-07-30,NA,NA,19.4,NA,15.3,86.3,78,6.1,NA
2008-07-31,NA,NA,NA,NA,NA,NA,82,2.8,NA
2008-08-01,NA,NA,NA,NA,NA,NA,69,5.7,NA
2008-08-02,NA,NA,NA,NA,NA,75.1,56,9.9,NA
2008-08-03,0.2,956.6,20.2,14.5,9.4,73.4,43,9,1.8
2008-08-04,0,960.3,18.6,10.7,2.7,81.8,49,6.1,1.1
2008-08-05,0,960.9,21.9,15.3,7.9,82.3,57,7.7,1.4
2008-08-06,0,NA,15.9,NA,12.6,84.2,70,7.3,NA
2008-08-07,NA,NA,NA,NA,NA,90.5,77,5.9,NA
2008-08-08,NA,NA,NA,NA,NA,NA,70,5.1,NA
2008-08-09,NA,NA,NA,NA,NA,NA,92,2.4,NA
2008-08-10,NA,NA,NA,NA,NA,NA,79,4.7,NA
2008-08-11,NA,NA,NA,NA,NA,80.8,63,8.3,NA
2008-08-12,NA,NA,NA,NA,NA,80.7,62,16.3,NA
2008-08-13,NA,NA,NA,NA,NA,NA,85,7.6,NA
2008-08-14,NA,NA,NA,NA,NA,NA,84,3.5,NA
2008-08-15,NA,NA,NA,NA,NA,84,63,4.5,NA
2008-08-16,NA,NA,NA,NA,NA,NA,78,6.3,NA
2008-08-17,NA,NA,NA,NA,NA,76.1,44,7.4,NA
2008-08-18,0,960.5,26.7,19.7,14.2,81.4,54,4.7,0.9
2008-08-19,0,962.8,26.6,20.3,16.5,85,56,5.1,0.3
2008-08-20,0,962,27.6,20.6,16.5,82.4,45,6.9,0.7
2008-08-21,0,960.8,25.7,18.7,16,83.8,51,12,0.9
2008-08-22,NA,NA,NA,NA,13.5,94.4,89,6.6,NA
2008-08-23,NA,NA,NA,NA,NA,NA,70,4.3,NA
2008-08-24,NA,NA,NA,NA,NA,NA,77,3.4,NA
2008-08-25,NA,NA,NA,NA,NA,77,54,6.1,NA
2008-08-26,NA,962.1,27.2,NA,14.1,80.8,40,7.9,1.5
2008-08-27,0.2,961.6,22.7,16.5,14.1,84.7,61,6.4,0.9
2008-08-28,NA,956.6,24.2,NA,13.7,77.7,57,7.3,1.2
2008-08-29,0.2,959.8,19.4,14.9,12.3,58.8,26,11.2,2.2
2008-08-30,0,966,18.9,10.8,3.4,68.4,33,5.9,1.6
2008-08-31,0,966.4,19.7,10.6,2.5,80.8,53,8.2,1.4
2008-09-01,0,963.5,22.1,14.1,8,82.3,48,6.9,0.7
2008-09-02,0,958.8,25.1,16.8,11,81.3,48,6.1,0.8
2008-09-03,0.4,955.2,31.6,18.6,11.5,82.4,35,6.3,0.5
2008-09-04,0,957.1,25.5,18,13.9,83,57,10.2,2.5
2008-09-05,0.2,960.4,14.8,12.3,9.7,87.4,76,8.9,2.2
2008-09-06,NA,NA,NA,NA,NA,NA,64,10.2,NA
2008-09-07,NA,NA,NA,NA,NA,52.5,31,9.8,NA
2008-09-08,0,967.2,17.8,9,0.8,81.3,57,6.2,1.2
2008-09-09,19,966.8,16,NA,7.2,90.8,78,7.5,1.3
2008-09-10,NA,NA,NA,NA,NA,NA,82,3.2,NA
2008-09-11,NA,NA,NA,NA,NA,NA,84,5.7,NA
2008-09-12,NA,NA,NA,NA,NA,NA,94,4.1,NA
2008-09-13,NA,NA,NA,NA,NA,76.8,52,7.9,NA
2008-09-14,NA,963.2,20.5,NA,8.6,68.9,32,8.6,1.9
2008-09-15,0,965,18.3,12.5,7.7,82,56,7.4,1.1
2008-09-16,0,966.3,21.1,14.8,11,75,40,9,2
2008-09-17,0,966.9,20.7,13.7,6.2,72.5,38,9.5,1.7
2008-09-18,0,967.2,21.1,13.7,6.7,71.5,37,8.2,1.9
2008-09-19,0,966.7,19.9,14.2,9.8,76.8,54,10.2,2.7
2008-09-20,0,964.5,15.9,NA,10.8,85.3,73,7.3,1.2
2008-09-21,NA,NA,NA,NA,NA,62.1,48,13.2,NA
2008-09-22,NA,NA,20.7,NA,8.1,66.1,51,12,NA
2008-09-23,0.8,961.8,22.8,14.3,6.6,76.5,47,7.1,1.6
2008-09-24,0.4,966,23.2,13.9,6.3,74.4,34,7.8,1.7
2008-09-25,0,967.2,17.9,13.3,8.5,82.5,64,6.7,1.4
2008-09-26,1,964,19.4,14.6,12.3,87,67,7.8,1.7
2008-09-27,0.4,962.8,21.4,14.8,11.1,87.6,64,9.4,1.8
2008-09-28,7,964.7,20.6,15.8,13.1,88,68,10,2.3
2008-09-29,1.2,964.8,20.8,16.4,13.3,82.8,57,7.7,2.1
2008-09-30,8.6,961.1,21,16.3,14.3,89.5,70,5.3,1.1
2008-10-01,3.4,957.5,18.8,16.8,14.9,94.2,85,4.9,0.9
2008-10-02,37.2,953,27.1,19.8,16.1,78.5,40,10.6,2.2
2008-10-03,0,957.7,26.5,17.7,9.8,75.6,33,9.4,1.6
2008-10-04,33.4,959.2,18.1,16,15.1,94.5,83,6.9,1.8
2008-10-05,20.4,957.7,20.5,16.5,14.3,88.6,68,8.3,2.2
2008-10-06,0,964.5,17.2,14.6,12.7,86.3,73,6.5,1.3
2008-10-07,0,967.1,25.1,17.4,12.5,78.2,39,8.2,1.4
2008-10-08,0,971.2,20.5,14.1,10.9,73.8,42,10.3,3.1
2008-10-09,0,970.4,16.6,13.5,10.8,73.1,56,10.5,3
2008-10-10,0,965.8,19.7,14.9,10.7,84.1,70,8.2,2.2
2008-10-11,0.6,963,18.5,16.3,14.5,89.5,75,7.3,1.1
2008-10-12,13.6,961.1,25.1,18.9,15.6,86.9,63,4.2,0.6
2008-10-13,0.2,959.9,26.6,20.8,16.7,88.2,66,4,0.7
2008-10-14,7,958.2,28.4,20.9,15.8,86.8,56,11.6,1.3
2008-10-15,2.4,959.7,24.2,19.4,16.9,93.4,73,9.1,1.3
2008-10-16,17,961.5,24.5,19.1,16.9,90.8,73,7.3,2
2008-10-17,54.6,963.9,16.2,15,14,95.8,90,8,2.4
2008-10-18,31,962,16.6,14.7,13.2,95.5,90,5.6,2
2008-10-19,9.8,965.3,20.6,16.2,13,85.3,70,8.2,2.7
2008-10-20,0.4,966.9,21.2,16.5,11.9,87,73,6.5,1.8
2008-10-21,1.6,963.8,21.8,18.7,16.1,89,75,7,1.6
2008-10-22,0,960.5,27.4,21.1,17.5,86.2,58,8.1,1.3
2008-10-23,15.6,960,25.8,21.2,18.9,91.2,70,8.7,0.8
2008-10-24,32.8,960.3,29.7,22,18.7,86.6,59,8.6,1.6
2008-10-25,6.2,960.5,21.5,20,19.1,93.5,84,6.3,1.5
2008-10-26,21.6,957,22.7,19.7,18.6,94.3,80,7.2,1.7
2008-10-27,16.2,956.3,29.7,22.1,18,75.9,40,9.8,2.5
2008-10-28,0,960.4,20.4,17.4,15.1,79.2,62,6.9,2.1
2008-10-29,30,958.1,18.1,16.4,15.4,96.4,86,9.1,1.7
2008-10-30,10.4,957.9,25.6,19.1,14.7,87,58,6.9,1.4
2008-10-31,0,962.2,24.7,17.9,14.1,79.7,56,10.3,2.4
2008-11-01,0,961.7,20.4,17.1,14.9,83.7,70,6.1,1.5
2008-11-02,18.8,958.4,20.5,17.6,15.8,93.8,83,6.8,1.4
2008-11-03,3.4,958.8,26.2,20.4,16.7,86,62,7.8,1.5
2008-11-04,0.6,959.2,26.5,20.8,17.1,80.2,57,5.7,1.4
2008-11-05,0.2,956.5,27,21.7,18,82.6,62,5.8,1
2008-11-06,0.2,952.8,27.2,21,17.8,84.9,61,12,1.7
2008-11-07,10.2,954.5,27.5,20.5,16.5,80.8,47,8.7,1.8
2008-11-08,0,957.4,25.5,20.4,16.1,81,61,7.1,1.4
2008-11-09,0,957.6,23.8,20.9,18.7,85.5,71,3.6,0.6
2008-11-10,16.6,958.6,27.2,20.6,18.2,87.9,57,7.6,1.9
2008-11-11,10.4,960.3,23,19.1,16.7,86.4,69,8.1,2.6
2008-11-12,37.6,959.4,16.9,15.5,14.8,92.3,81,7.5,2.5
2008-11-13,13.6,956.6,22.4,16.4,13.6,87.3,64,6.1,1.4
2008-11-14,1.2,952.9,26.2,19.1,14.1,81.8,54,11,1.1
2008-11-15,0,952.6,30.2,22.5,16.9,70.7,27,9.4,2
2008-11-16,3.2,958.2,22.4,16.8,16.2,90.5,73,9.6,2
2008-11-17,7,961.9,19.7,16,13.3,83.3,65,4.9,0.9
2008-11-18,0.6,961.4,25.5,18.1,14.9,83,47,7.9,1.6
2008-11-19,0.2,962.5,21,16.7,15.2,88.2,67,7.5,2.2
2008-11-20,4,963.8,23.5,16.9,13.5,83,58,11.3,2.3
2008-11-21,4.6,965.5,19.2,15.7,13.6,88.5,74,8.3,2.5
2008-11-22,4,965.1,19.2,16.5,14.8,92.8,83,8.9,2.6
2008-11-23,23.8,963.4,20.1,16.8,15.3,93,79,7.8,2.5
2008-11-24,11,962.3,24.6,18.9,16,88,66,10.8,2.4
2008-11-25,4.8,962.9,23,19.2,17.1,88,68,10,2.2
2008-11-26,0.6,963.1,25.3,19.8,17,84.8,65,10.1,2
2008-11-27,2,963,23.9,20,17.8,89,72,8.8,1.6
2008-11-28,6.4,961.8,26.3,20.9,17.4,80.3,55,10.6,2.2
2008-11-29,3,960.6,26.7,20.3,17.3,85.4,59,9.3,2.2
2008-11-30,0.8,959,27.8,21.3,17.1,79.3,52,8,2
2008-12-01,2.6,954.6,28.5,22.2,18.4,81.3,59,5.7,1.1
2008-12-02,0,952.8,25.7,21,17.2,78.4,49,14.4,1.3
2008-12-03,7.8,952.1,23.3,17.7,13.6,72.4,37,9.8,1.3
2008-12-04,0,956.5,24.7,16.6,8.8,69.3,36,7.9,1.4
2008-12-05,0,961.2,23,17.3,13.7,74.4,53,7.2,1.2
2008-12-06,0,962.2,26,19.7,15.9,75.2,48,7.3,1.5
2008-12-07,0,962.8,27.7,21.5,17,72.1,45,7.8,1.7
2008-12-08,0,961.2,30.4,22.7,18,73,46,8.5,1.6
2008-12-09,0,958.3,32.1,22.9,19.5,79,47,10.7,1.9
2008-12-10,12.8,955.4,24.6,20.9,18.9,90.7,70,5.3,1.1
2008-12-11,16.4,956.1,27.9,21.1,16.9,79.3,43,8.5,1.8
2008-12-12,0,960.4,25.5,20,16.2,77.7,52,7.4,1.8
2008-12-13,0,960.6,27.1,18.8,12.3,76.3,38,7,1.6
2008-12-14,0,958.6,25.3,20,14.9,75.9,50,8.7,1.2
2008-12-15,0.2,955.1,23.8,19.2,16.9,80.6,62,7.4,1.7
2008-12-16,1.2,954.4,22.7,18.8,17,83.1,66,7.8,2
2008-12-17,1.4,956,24.5,18.5,14.9,90,59,6.7,0.9
2008-12-18,5.4,958.5,27.6,20.1,15,75,22,6.3,1
2008-12-19,0,958.8,27.8,21.7,17.6,72.3,30,7.9,1.3
2008-12-20,0,957.7,28.6,22.4,17.9,72.5,46,7.6,1.9
2008-12-21,0,957.8,29.6,22.3,15.1,71.2,35,9.4,1.7
2008-12-22,0,958.7,30.3,23.4,17.6,74.3,43,9.4,1.5
2008-12-23,0,957.8,32,24.5,19.2,71.7,36,8.9,1.6
2008-12-24,10.2,954.1,26.6,21,18.6,89.6,70,9.2,1.1
2008-12-25,6.8,952.4,28.8,21.3,18.4,84.9,50,11.8,1.4
2008-12-26,11.4,955.7,27.3,21,16.1,74.5,38,8.9,1.7
2008-12-27,0,957.1,26.6,19.3,12.8,75.7,46,7.6,1.7
2008-12-28,0,956.3,29.5,21.2,15.5,76.8,49,8.5,1.2
2008-12-29,0,956.4,30.5,23.1,17.6,79.8,45,17.9,1.2
2008-12-30,23.6,959.3,25.5,21.2,18.5,82.6,60,8.2,1.9
2008-12-31,0,957.7,28.4,22.2,18.7,80.5,60,6.7,1.2
2009-01-01,5,956.5,29.4,21.3,18.7,88.4,58,13.6,1.4
2009-01-02,14.4,956.6,23.5,19.4,17.9,91,72,7.9,1.2
2009-01-03,31,951.6,21.6,18.2,17.3,92.8,74,8.4,1.9
2009-01-04,5,955.6,22.4,16.6,14.2,84.6,54,7.9,1.1
2009-01-05,2.4,958.9,25,17.2,11.7,80.7,49,8.6,1.5
2009-01-06,0,959,26.4,18.6,11.9,74.4,38,9.4,1.3
2009-01-07,0,958.7,28.8,21.2,16.8,69.1,27,7.4,1.6
2009-01-08,0,958.3,31.8,23.5,17.5,68.8,32,10.8,2
2009-01-09,0,961.9,29.3,21.5,17.6,79.4,47,9.8,1.9
2009-01-10,21,964.1,24.1,19.1,17.4,94.3,74,5.6,1.5
2009-01-11,20,960.3,27.7,21,18.1,88.7,59,6.7,1.1
2009-01-12,2.2,958.5,31.4,22.9,16.3,79.6,48,7.3,1.3
2009-01-13,0,958.3,25.3,21.7,18.4,85.1,66,9.2,1.4
2009-01-14,1.8,955.1,32.5,23.2,16.8,80,45,8.7,1
2009-01-15,0,953.8,31.7,24.3,18,75.9,42,8.6,1.7
2009-01-16,0,955.9,29.5,21.9,18.6,84.8,58,13.2,1.5
2009-01-17,14.4,954.2,22.8,19.7,17.9,94.2,83,8.4,0.6
2009-01-18,8.4,953.4,30.9,23.4,17.7,79.9,44,6.1,1.4
2009-01-19,2,955.1,24.2,21.6,20.3,91.3,82,4.8,1.4
2009-01-20,3.8,956.7,27.1,21.1,16.6,79.8,57,7.3,1.6
2009-01-21,0.2,961.3,26.1,19.1,12.3,79,50,6.8,1.3
2009-01-22,0,964.1,26.4,19.2,12.1,74,43,7.5,2
2009-01-23,0,964.8,27.1,19.9,12.9,72.7,43,8.9,2.7
2009-01-24,0,962,27.4,20,14.1,75.7,46,9,2.8
2009-01-25,0,960,27,21.2,18,81,61,9.3,1.9
2009-01-26,0.8,959.7,28.5,22.3,19.5,86.2,62,6.9,1.4
2009-01-27,0.8,959.6,29.3,23.3,19.5,79.7,50,8.7,1.9
2009-01-28,0.8,957.2,29.5,23,19.6,84.2,56,8.7,2
2009-01-29,0.4,953.5,29.4,22.4,20.6,88.9,59,11.5,1
2009-01-30,6,952.3,31.9,24.1,19.4,77.5,36,10,1.5
2009-01-31,0.2,952,30.3,23.3,16.8,71.8,33,11.5,1.7
2009-02-01,0,955.8,32.3,24.1,15.4,64.1,27,9.3,1.6
2009-02-02,0,959.6,30.2,23.2,17.3,72,35,9,1.7
2009-02-03,0,959.8,25.8,21.6,19.5,84.5,68,5.5,1.2
2009-02-04,4.4,956.8,28.3,22.2,20.3,89.4,66,8.1,1
2009-02-05,5,958.2,28.2,21.9,18.2,82.5,56,7.8,1.3
2009-02-06,0,957.5,30.6,23.8,19.3,78.2,38,6,1.2
2009-02-07,0,956.9,30.9,25.1,21.5,79.9,34,9.9,1.8
2009-02-08,4.2,956.9,31.7,24.7,21.1,77.7,31,7.8,1.6
2009-02-09,28.8,957.6,28.8,23.5,20.4,82.1,41,8,1.2
2009-02-10,0.8,959.3,25.7,22,19,87.7,70,5,1.4
2009-02-11,0.8,954.9,28.2,22.9,21.2,89.1,59,12.5,1.1
2009-02-12,10.6,955.9,29.4,22.1,18,77.4,41,8.8,1.5
2009-02-13,0,957.2,26.2,19.5,13.9,74,47,7.3,1.3
2009-02-14,0,957.4,27.8,21.2,15.9,75.9,43,9,1.5
2009-02-15,0,958.2,29.4,21.7,16.5,76.3,48,8.3,1.9
2009-02-16,0,956.9,26.6,21.5,18.2,88.5,68,7.1,1
2009-02-17,23.6,958.9,26.3,22.7,20.5,89.5,73,9.4,1.2
2009-02-18,15.4,959.9,30.5,24.1,20.7,82.4,39,8.5,1.3
2009-02-19,0,961,29.9,24,19.7,76.3,35,8.3,1.7
2009-02-20,0,958,28.3,23.8,20.4,85.2,45,5,1
2009-02-21,8.2,956,30.3,22.7,20.3,90,45,13.4,1.3
2009-02-22,16.4,956.8,31.2,24,19.5,82.6,45,5.4,0.9
2009-02-23,14.8,956.3,31.5,23.2,20.3,85.8,37,18.3,1.5
2009-02-24,12.8,958.6,23,20.1,18.6,91.4,75,7.2,2.2
2009-02-25,6.6,961.7,22.6,19.5,17.5,87.9,76,6.4,1
2009-02-26,2.2,959.7,24,20,17.5,91.8,79,4.4,0.8
2009-02-27,0.4,957.1,28.8,22.6,19.1,87.2,46,7.5,0.8
2009-02-28,1.2,958.3,28.9,23.1,19.5,84.8,58,5.7,1.2
2009-03-01,0,958.7,31.8,23.7,20.7,83.8,45,9.2,1
2009-03-02,1.8,958.2,32.8,23.9,20.4,83.1,28,9.2,1.1
2009-03-03,7,958.7,31.6,24,19.5,77.3,27,5.4,1.1
2009-03-04,0,957.4,31.5,25.2,21.4,74,31,6.2,1.3
2009-03-05,0,954.5,33.4,26.3,22.6,73.6,23,12.5,1.9
2009-03-06,0,956,31.2,23.4,16.7,70.4,27,8.1,2
2009-03-07,0,958.6,27.4,22,18.2,78.7,37,8.2,2.3
